State,District,Latitude,Longitude,District code,Population,Households with Internet,Households with  Electric Lighting,Age 0 to 29,Age 30 to 49,Age 50+,Sex Ratio,Literacy Rate,Percent of Hindu Population,Percent of Christian Population,Percent of Muslims Population,Percent of Buddhists Population,Percent of Jains Population,Percent of Sikhs Population,Percent of Other Religions Population,Percent of people not state their Religion,Percent of Below Primary Education,Percent of Middle Education,Percent of Secondary Education,Percent of Higher Education,Percent of Graduate Education
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,62153,1722387,613072,387389,91.0,59.0,92.29620067680519,0.07935033153044982,7.250347913636052,0.023713470900785696,0.05395089515603794,0.019938374296796627,0.001759268320305585,0.27473906935438885,21.315734785902542,13.453234799646827,11.49055107980591,5.985287385642978,4.806357702498198
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,46760,1074754,375372,253998,92.0,58.0,93.26645381492213,0.12453467983159394,6.178268024417002,0.2982971860436768,0.005684641855842171,0.014533929693287201,0.003340459647247461,0.10888726358922425,19.437665850891257,15.010033099852786,10.434189428675912,5.233738408018978,3.7575482667116753
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,127442,2535344,865971,529314,91.0,46.0,77.27791414860371,0.08975500236832314,22.38734591613469,0.006222403955925062,0.005993825851421692,0.021130775882978167,0.002565154283871148,0.20907277291908208,17.08740699728373,8.441694170115445,5.704852332195099,3.8741448956604447,3.2914485121470216
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,112617,2810026,936630,537333,94.0,52.0,88.2720569984456,0.089788765268986,11.115339054492193,0.019811368446365163,0.03923561819895077,0.020790551024748725,0.0024593422898936063,0.4405183018332575,20.546256357285962,10.189874887792508,7.793701260048577,4.368156253856954,2.9868028960121764
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,69375,1642807,546202,370662,102.0,54.0,82.71866017801635,0.09613538109891757,17.020099827791597,0.0065183145121880766,0.005191232515694696,0.010577624148520773,0.0010928910559357256,0.14172455086080782,21.100720839715038,11.382616474864287,8.734385319038317,4.81063320546508,3.087768519429261
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,32633,1135919,392052,227016,92.0,49.0,86.67016964846157,0.4796055453148565,12.36198488416018,0.009032012519846287,0.004942044586330987,0.009202427850409423,0.19529596882535552,0.2697674682814466,23.884958290847845,8.746453230932655,5.919717337771706,3.188868470607616,1.6833058301924841
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,27641,714244,254582,155106,92.0,55.0,92.87344943140265,0.061405137948286385,6.730749578117377,0.022038312896056473,0.005331849894207212,0.013151896405711122,0.0051541215644003045,0.2887196717713205,18.817964424120223,10.44669349772019,10.038629252483531,6.109233608782623,4.045007922240301
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,60900,2054202,660403,353483,92.0,42.0,54.854219872231745,0.2819576109505967,44.4686455256528,0.006903223642629229,0.016509124466099145,0.08967678260283443,0.06971604631542067,0.21237181413786715,15.3894997409663,7.725195691737199,4.357204051150282,2.8817051222896297,1.8597675241751217
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,40641,1114645,355531,195796,89.0,46.0,89.20760027980317,0.07517010761383802,10.53389373958387,0.004739376298079173,0.005159321033352011,0.008578871020573692,0.006899092079482341,0.1579592125676261,21.03329201877033,7.799213623487149,6.032506122194319,3.955339477324784,2.321514488693288
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,58718,1139615,361114,188447,95.0,44.0,31.42664458116422,0.34210837671557026,67.97769758637008,0.010825840037860862,0.08731661145291056,0.023544723142451488,0.0016564126833885473,0.13020586843350687,21.08382631329863,5.26650496923805,2.530643634642688,1.5374467581637483,0.9101987695220066
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,44491,650642,218840,130655,90.0,51.0,95.55245615998209,0.04865562606902505,4.084874594369935,0.005195261921127931,0.007792892881691897,0.013987243633805968,0.005195261921127931,0.2818429592211903,17.191920968077113,11.158223699985612,8.572881532042777,4.795726297616574,2.723616062151318
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,23236,1311771,444235,242382,91.0,42.0,87.61426183532308,0.06704093693456066,12.077359845975694,0.002997359326433412,0.006644146506927397,0.008492518091561334,0.004046435090685106,0.21915692275105633,17.025650401995843,5.718661858902307,4.96747365570932,3.9910338991348624,2.2457714753302342
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,113281,2860455,1009424,611899,93.0,48.0,81.3875538482486,0.0726927678718468,18.24922744435003,0.0073093892893825105,0.009849847761911798,0.012568584021987,0.0037661182619074525,0.25703200019432276,17.468727290474014,11.607555323497303,6.754811661774056,3.8009492846492354,3.0703891960095193
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,90461,860147,316713,188319,88.0,59.0,91.55951497516021,0.13269823398025246,8.072731792376613,0.006945637591252883,0.010601236323491242,0.024711847429931308,0.004459830453330799,0.1883364466849203,16.574411539994077,10.704616655638944,10.758573292926782,7.450622000124291,4.713455893373497
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,180651,3016735,1079189,697108,90.0,52.0,83.99751971542962,0.1072471049113717,15.528772592397267,0.005998672793644406,0.007956572941570011,0.019433200404410524,0.0020412150478373325,0.33103092607427276,22.7647966220807,8.73625460366894,6.237682412766175,4.059935072698498,2.8934431590343967
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,101378,1829128,642197,403129,92.0,53.0,92.77612693399794,0.06873657108761898,6.8817539849314695,0.01438672418112955,0.019495053781675552,0.01365696280962298,0.002224034656020027,0.2236197345545137,20.224050641269116,11.149328984418899,9.540969672159916,6.163286539412501,4.62293403686963
